"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on July 17, 2019","PTN01","yes","yes","Good for what it is, at a low price point.","Simple 3m double sided tape mount. I used it to mount an N2 pro onto the rain sensor housing. Using the suction cup mount that came with unit wasn’t an option as the rear view mirror would block most of the inner camera. It is shipped from China, so expect about a 2 week delivery.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R3OOQBJ6K2HZCW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","-","-"
"Reviewed in the United States on June 4, 2025","Jose Joseph","yes","yes","Not reliable and poor customer service","Dashcam stopped working within 2 years. Contacted customer service and they said they won't help since warranty expired after 18 months. This is my 5th dashcam between my two cars in  5 years. Only reason I keep buying them is because of the existing hard-wiring in my cars and decent video quality compared to other brands. No more buying this brand again because of poor quality and terrible customer service.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3HVD3GCFA0K12/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on March 23, 2025","Eric","yes","yes","Doesn’t work properly","The camera will stop recording during mid drive for no reason. The firmware is up-to-date, I’ve reformat the SD card, the light will blink green and it’s recording fine then all the sudden the light will go solid green and stop recording to get it to record again, I have to Unplug it from the 12 V power supply and then plug it back in. I’ve only had it for three weeks.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R1OK8E998D4IBU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on May 23, 2025","♛ KiℝiLL ♛","yes","yes","DONT BUY, it’s the camera NOT the SD","Camera will NEVER work properly. Always randomly get a SD Card Error message, replaced with 2 brand new SD cards, Samsung Pro Ultimate and SanDisk Pro Extreme. I bought the 2 best in class SD cards, no change, it’s the camera. No point is owning a camera that always stops recording… when you need the most it won’t be recording… TRASH",1,"https://m.media-amazon.com/images/I/61BhE96e7BL.jpg , https://m.media-amazon.com/images/I/61iXbToiV1L.jpg , https://m.media-amazon.com/images/I/61yJ7bVMrVL.jpg , https://m.media-amazon.com/images/I/71JAFkBQNhL.jpg","-","https://www.amazon.com/gp/customer-reviews/RUN8ZBDG9NS4O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on March 21, 2025","JD","yes","yes","heat damage","Decent features and video quality, but the plastic warps and the case expands from the heat in Arizona.Experienced this issue with two different units.  Vantrue replaced the original one with a completely new unit so no complaints with their support, but the camera is simply not durable enough for a hot environment.Anecdotally their SD cards also seem to have issues with premature death possibly due to heat, but I have no evidence to support that claim.",2,"https://m.media-amazon.com/images/I/611XRdUgdBL.jpg , https://m.media-amazon.com/images/I/61lWLw78sCL.jpg , https://m.media-amazon.com/images/I/61xAULST+sL.jpg","-","https://www.amazon.com/gp/customer-reviews/RGOGTU9IYZ38D/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on August 21, 2022","MEF","yes","yes","Nicely packaged and easy to install. Looks like a well made product.","I ordered the VANTRUE E2 to replace an existing dash cam that did NOT have a rear camera. I also like that the unit uses a capacitor and not a battery.The unit arrived the next day, thanks Vantrue and Amazon; I charged the unit overnight from a USB cube.Very nice packaging (Image 1 and 2). Everything was well organized. Clearly some thought went into the packaging and marketing.I liked the security sticker on the box in addition to the shrink wrap (Image 3). The quick start guide had clear and easy to understand graphics (Image 4).Under the quick start guide (layer 1 of the box) contained the camera and mini remote nestled in a protective formed foam holder along with box that contained the camera mount and the USB C power cable (Image 5). All of the included items laid out to see...the inclusion of a nylon panel tool made the hiding of the cables quick and simple (Image 6).The camera installed and operating (the screen can be on or off, front, or rear camera or both with an insert (image 7 and 8). The cigarette outlet mounted power supply with spare USB power outlet...another nice touch (Image 9). Lastly the rearview camera mounted on the rear window (Image 10). The exposed wire is temporary. As this is an SUV, the rear cable install will take a bit more work. I plan to remove the trim and snake the cable from the roof into the hatch, along with the other electrical connections.Overall, the installation took about 45 minutes, including the running and hiding of the cables and adjustments of the view.The camera settings were easily completed via the camera mounted buttons. Once I installed the APP all of the setting were super easy to access and manipulate from the App once the WiFi was connected.That's it for now. I'll post some in video of the cameras and an update on my observations in a few days.",5,"https://m.media-amazon.com/images/I/51OCjsYijCL.jpg , https://m.media-amazon.com/images/I/617NJ1rKDnL.jpg , https://m.media-amazon.com/images/I/61UwayBHeeL.jpg , https://m.media-amazon.com/images/I/61kOMxgpdbL.jpg , https://m.media-amazon.com/images/I/71E2ojUSRpL.jpg , https://m.media-amazon.com/images/I/71RKfRy-7HL.jpg , https://m.media-amazon.com/images/I/71WlzdAwLXL.jpg , https://m.media-amazon.com/images/I/71aWwKaZc3L.jpg , https://m.media-amazon.com/images/I/71k37JuX3fL.jpg , https://m.media-amazon.com/images/I/81Z4GXeTmCL.jpg","-","https://www.amazon.com/gp/customer-reviews/R12YJ3W7AA9KW5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on June 16, 2025","Rodolfo Galvez","yes","yes","Not a quality product","Avoid this camera at all costs if you live in the heat of the South. It will overheat and stop recording. Messages will come on that tell you it is overheating and the screen will go blank.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R2PDBRITPSYX4H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on April 15, 2025","Andrew Torgerson","yes","yes","Worked for a while then had problems","Worked fine for a few months then get the dreaded ‘SD CARD ERROR’ and now it is useless. Bought a new card, tried resetting it, tried all the troubleshooting…. And now have a dash cam that doesn’t record, so what’s the point?",1,"-","-","https://www.amazon.com/gp/customer-reviews/RIJ5GPHSQKMX4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on July 24, 2020","Topher","yes","yes","sticks to the windshield, even in hot sun","The suction cut that came with the N2 Pro cam was good for a few weeks. Despite thoroughly cleaning the glass, suction cut, double-sided tape and all kinds of internet tips & tricks, the suction cup always gives out. This happens most often when car sits in the sun outside.. which is pretty much when it's not at night. It happened so often that we just left the dashcam in the glove box.When I found this adhesive windshield mount for the dashcam, i figured it would solve the suction cup issue and it did. We've had a few hot days, car parked outside and windshield gets heated up... yup, the mount & cam still there. Another benefit of this... the locking ring at the ball joint also keeps the cam pointed right where I want it. That that also problem with factory mount... the ball joint was loose - drive a little too fast around a turn... the cam gets tilted sideways. This mount also fixes that issue.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2HQ050C3R4K2Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","-","-"
"Reviewed in the United States on February 27, 2019","RPM","yes","yes","Better than supplied suction mount","The spot around my mirror has a black tint from the factory that has a slight texture to it.  Using the suction cut mount was only good for about an hour before it would release and drop on the dash (camera and all).  This mount not only allows me to stick it to this area, it also is smaller so I could tuck it up higher.  Now it is not only secure, but up so high it is behind the rear view mirror and not in my line of sight.  Perfect.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R22P7D7TWE4HDW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","-","-"
"Reviewed in the United States on August 25, 2022","Jerome Clemente","yes","yes","Vantrue E2 Dash Cam is worth the asking price!","Vantrue E2 Dash Cam is worth the asking price!The Vantrue E2 is a 2 channel (2Kfront/2K rear) dash cam that produces amazing video's and images. The unit is equipped with a super capacitor battery that is designed for extreme heat and cold regions.  The install for the front unit was very easy - the instructions were very simple and easy to understand.  The E2 does not use standard Vantrue suction cups for mounting but an electrostatic sticker for the windshield and  2 sided tape.  I wish Vantrue offered both types of mounting options so the user can chose whichever works best for their application.  I'm not sure how the sticker method will hold up with the heat wave the Bay Area is currently experiencing.  The rear camera was a bit tricky to install because the wires was somewhat difficult to snake into the headliner and tailgate of my vehicle.I upgraded from a Vantrue S1 cam and the image reproduction is significantly a night and day difference.  It should be since the S1 is only a 1080P vs E2 1440P.  One of selling points of the E2 is the built in wifi so you can easily download the files by using the Vantrue App (3 minute video loop files takes a while to Dl because of the file size).  So you can show the officer after the event what really happened instead of having to DL the video with a PC.  A feature I like is the voice control - user can command the unit to take a pic, turn on/off wifi, turn off screen.  Another feature I want to mention is the handy remote if you do not want to use the voice control feature - to just take random pics of cool cars, people crossing the street, planes overhead, etc.Overall the Vantrue E2 is an amazing dash cam for the price and will surprise you with the numerous options it offers!  Amazing videos/picture reproduction during day time and pretty good in low light (manufacturers have not mastered the night yet).The only gripes I have:1. The plug for the rear cam should be on the side instead of the top2. Offer 2 type of mounting options the electrostatic tape method and suction cups (so I can use the suction cups whenever I rent a car.3.  The Circular Polarizing Lens should have been included (i have major reflections/glare from my leather dash)4. Vantrue should manufacture flat wires so hiding wires should be a breeze5. Offer cloud storage and live view similar to Thinkware and BlackVue6. The car charger should have been a plug and dual port USB version. So I can connect the power cable to a ext battery pack like Rav Power for extended parking mode.",5,"https://m.media-amazon.com/images/I/61ZQpjPoX6L.jpg","-","https://www.amazon.com/gp/customer-reviews/R11BR0CSWQZ09U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on August 19, 2022","Catina","yes","yes","Huge upgrade to the N2 with Crystal clear videos!","I am upgrading from the Vantrue N2 dash cam and its a much better camera. The quality of Vantrue remain too notch in 2022. The camera looks to be well made and sturdy. The new design is super slim and sleek looking. Much smaller profile than the previous N2. I was able to set up and get it going under 30mins!",5,"https://m.media-amazon.com/images/I/910D5WjPQAL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3GKOLLOFQYR2K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on August 18, 2022","Luan N.","yes","yes","Initial Review","Packaging:The Vantrue E2 dash cam comes in a nice little box with everything you should need for installing the cam as a plug and play. For hardwiring you will need to purchase the hardwire kit from Vantrue, and maybe a longer car trim/panel puller depending on your vehicle.Installation & Set Up:Installation of the dash cam with the hardwire kit took me about 2.5 hours to route and hide all of the wiring, installing both front & rear cam. Setting up the dash to the app should be simple, just read through the provided guide. Recording settings is complete done out of the box so you likely won't be messing to much with it.Quality:After taking it out for a short drive, I rewatched the video and the quality is nice and crisp as expected.The dash cam and mount feels very stable and solid. The mounting style of this camera is using an electrostatic sticker and 3M tape, so I will have to see how well it holds up to the AZ heat.The parking mode has several options, the one that was recommended for hot climate was ""Collision Detection"", they also have the ""Motion Detection"" as well which I'm guessing could cause the camera to overheat if there is a significant amount of traffic (I'll have to test this option little more).",5,"https://m.media-amazon.com/images/I/614EsRuaNJL.jpg , https://m.media-amazon.com/images/I/61DCXsIfVFL.jpg , https://m.media-amazon.com/images/I/61E0NItVMhL.jpg , https://m.media-amazon.com/images/I/61dnRvZ6xHL.jpg , https://m.media-amazon.com/images/I/61q-XhWkTWL.jpg , https://m.media-amazon.com/images/I/71HArSbiJuL.jpg , https://m.media-amazon.com/images/I/71nuCsULThL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1IU04U3SS4URV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on August 18, 2022","Quoc-Anh N.","yes","yes","Easy Install Front and Rear Cameras","I have been wanting to replace my dashcam that I have been using for the last 5 years.  This dashcam has all the bells and whistles you could want in a dashcam!  The boxing was elegant and efficient.  It comes with both a electro-static pad or double sided tape.  Be sure to clean your windshields before applying the electro-static pad.  It has Wi-Fi that you have to manually connect to the phone when you want to view videos.  Its got in built-in GPS with speed display.  The compact design of the camera is easy to setup.  The mount is magnetic so the camera just clicks right in.  Once you power on the camera, the setup took less than 5 minutes.  This camera is mini but powerful!  The picture quality is fantastic and major upgrade from my old camera.  It also comes with a small remote that does one touch snapshots.  I highly recommend this dashcam!",5,"https://m.media-amazon.com/images/I/618VMR0F6gL.jpg , https://m.media-amazon.com/images/I/61BhFD8CVBL.jpg , https://m.media-amazon.com/images/I/61yOI5tJcAL.jpg , https://m.media-amazon.com/images/I/61zeLHWqXjL.jpg , https://m.media-amazon.com/images/I/71PCLVfHa6L.jpg , https://m.media-amazon.com/images/I/71YRYVfEsrL.jpg , https://m.media-amazon.com/images/I/71YpYZAj35L.jpg","-","https://www.amazon.com/gp/customer-reviews/RAE5P7K619W67/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on August 13, 2022","Andy Murray","yes","yes","Ease of use","Product was easy to install in my 2021 Tunda and the cables are easy to hide. Most difficult part I’m dealing with is the rear camera but I will find a way to mount it without having it on the window that rolls down.  (Full size window rolls down, not partial).",5,"https://m.media-amazon.com/images/I/61wPSPzqAEL.jpg , https://m.media-amazon.com/images/I/71kcTfXkTTL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2YVC3ZKDZBBO3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
"Reviewed in the United States on April 27, 2025","Nizam Makki","yes","yes","not perfect quality","GPS not working.",1,"-","-","https://www.amazon.com/gp/customer-reviews/RJ0CEZ6PCK4TY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B6B6RQT1","B0B6B6RQT1","Size: E2"
