"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on July 26, 2022","wizzard","yes","yes","keeps going offline.","keeps going offline. Worked for a day and never reconnects unless you reboot it so defeats the purpose of hidden cam",1,"-","-","https://www.amazon.com/gp/customer-reviews/R12QWOO0HGV6WX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on August 3, 2022","dccustomer","yes","yes","Love the small form factor, only wish it would stick to the windshield...","The small form factor is the deciding factor of my purchase. Set up was very easy. WiFi connection had issues initially but was fixed by updating the app. However, the only mounting option is to use the included adhesives, which is not enough to hold the camera if you live in the warmer states (north Texas for me).. I hope Vantrue offers a suction mount for this model and I'd happily purchase it.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R297R9OH4MDVJ8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on June 7, 2025","Daniel Salinas","yes","yes","Very pleased with it!","I’ve caught a lot of crazy things on this dash cam since I bought it, I’ve had it for 7+ months and it’s been amazing! The camera quality is great and the installation was simple. Took like 5 minutes to get everything in place. I like how they give you a 12v plug it for the camera that also has a usb-c hole to plug your phone in. They also give you little adhesive clips to stick on your dash to help route the wire. The app for the dash cam is pretty good too. Overall great but would recommend this camera to anyone!",5,"https://m.media-amazon.com/images/I/61l0iOFHN6L.jpg","-","https://www.amazon.com/gp/customer-reviews/R33V5HK3PP1HSE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0BGGGG4VW","Color: Black"
"Reviewed in the United States on May 17, 2025","Kurtis Roberts","yes","yes","Do not buy!!!!","DO NOT BUY.They are AWFUL. Extremely difficult to use. The app is awful you can't access any video footage unless connected to the camera. So if you're in a wreck and your camera breaks you're SOL as far as recovering footage. Buyer beware. Save your money.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R1IQRKE0FCK2WC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0BGGGG4VW","Color: Black"
"Reviewed in the United States on August 14, 2022","nyblues","yes","yes","They fixed it finally. The iPhone app is working.","New review:Yes!!!! They fixed it finally. The iPhone app is working fine with the camera.Now they deserve 5 stars… before it was 1 star.Besides the phone app, the camera itself is a great camera. The picture quality with filter is fantastic.Thanks again for calling me from China main land regarding the iPhone app issue.Thanks to the vantrue team. Well done.Previous review:I have been trying to connect with my iPhone 13 Pro max with iOS 15.6 (latest version) with my VantrueCam E1.I have downloaded VantrueCam iPhone app. Version: V2.0.15 (latest version).Phone is connecting with the camera WiFi. However, the app is not connecting with the LIVE camera view; nor accessible the SDcard.App is showing busy symbol that it is trying to download the live view from the camera. Unfortunately, it is not downloading any live view even though I was waiting over 30 minutes.I emailed to the customer service at support@vanture.net. But no solution from them.Horrible customer service.Amazon should stop selling this product.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3TP5TZ6CTB9M0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on August 22, 2022","Michael M.","yes","yes","This DashCam is GREAT! Voice Control, Motion Sensor and Video quality is OUTSTANDING!","Bought this camera after having a close call a few days ago.  Wanted to have video evidence if anything ever happened to me and/or my family.  It comes with a power outlet power adaptor and a windshield mount (double sided tape).  I bought a 512GB SD card and opted for the Hardwire Kit which was a BIG surprise in itself with all of the options to plug into a fuse box.  Setting up the camera was VERY simple.  Just a few clicks and it was up and running.  The green light facing the driver that shows it's being powered and/or recording is very easy on the eyes.  Drove a little and came back to view the video on my phone.  Connecting to the camera via WiFi was easy and downloading a video was a snap.  I also saved the video to my iPhone Photos app.  I then tried all of the voice control features and they worked perfectly, I would imagine the most used would be the ""Take Photo"" feature.  I had the camera's Parking Mode turned on using the Motion Sensor.  It works perfectly.  The video I uploaded shows my USPS carrier coming up and the video is crystal clear.  I also uploaded a screen capture so you can see the clarity.  Viewing the videos on a PC is something to behold.  ALL details are easily seen.  Viewing a video while driving shows car tags very clearly.  The GPS feature (which can also be stamped onto the videos) is also a HUGE plus to show where you have been.Vantrue, you've made a customer out of me.  I give this a 5 out of 5 star rating.  Absolutely no issues and now have a little more peach of mind if something should ever happen.",5,"https://m.media-amazon.com/images/I/717wVwhn+SL.jpg","-","https://www.amazon.com/gp/customer-reviews/R3LEFWG3WTX0RR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on July 25, 2022","Trent","yes","yes","Love the size. Hides nicely. Works great.","I'm a dash cam nut and feel its an absolute necessity to have to protect you as a driver. Whether its wildlife, other drivers or just bad weather, these are helpful if any accident occurs. With that being said, I've used a fair amount of models. We currently run a Vantrue m2 in our van and I love how sleek it fits. I've had a dash cam in the wife's car for several years now, but she hates having a camera in her viewing area. Shes just not a fan of 'techy' stuff in her life. The M2 was a great option, but she wanted the actual mirror and not the screen.In comes the E1.... it now hides behind her rear view mirror and doesn't obstruct at all. The cables are routed so they aren't noticeable... and its now an afterthought for her. I will say, the small size does compromise the buttons/navigation. Going through the menus isn't fast due to only having ""down, select, back"" We are still getting used to the voice navigation, which is there, but not a complete substitute for the buttons.What's GreatSize. Size. Size. You forget about it being there, but it works as you would want it to.The manual. VanTrue by far has the best manuals/documentation out there. Pictures and easy to read.The quality to size ratio. The video isn't top of the line, but its very good still.The night vision is exceptional.What MehThe screen and buttons are a bit small, but you have to live with that compromise.No memory card. Wish it would come with it.The remote isn't all that useful.Overall, if you are looking for a small, unobtrusive dash cam, this is it.",5,"https://m.media-amazon.com/images/I/61PRTX5BeqL.jpg , https://m.media-amazon.com/images/I/61s7pCvAtGL.jpg , https://m.media-amazon.com/images/I/71uQOiGL9AL.jpg","-","https://www.amazon.com/gp/customer-reviews/RPJD6V8IVULRL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on April 26, 2025","Dan","yes","yes","Hit and run","I was involved in a hit and run but the picture quality of this unit was too low to be able to read their license plate. Basically making this useless.  The app works good but spend more money and get better picture quality.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3TEC0A1JLAILR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0BGGGG4VW","Color: Black"
"Reviewed in the United States on July 23, 2022","T. matthews","yes","yes","Wi fi connection aweful","Wasted 2 hours of my life tring to connect it to my phones wi fi abd to fet the app to work, finally realized it should not be this hard, sending back, high hopes quashed",2,"-","-","https://www.amazon.com/gp/customer-reviews/RKLZ41PCVH401/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on May 22, 2025","MT","yes","yes","Excellent camera and OS.","Vantrue E1 2.7K is an excellent dash camera, with easy to learn operation, and one of the smallest footprint dash cameras made. It provides excellent picture quality, night and day. It syncs up with my iPhone every time, although I don’t find the need to sync, as I’m not interested in watching myself drive. The clarity at 2.7 K is very good, and license plates can be made out clearly. With the 1 inch screen, you can see everything the camera is capturing, and with the remote button, the instant you need to take a picture or save a loop recording, it makes it so convenient and easy. I mounted the remote on the dash between my screen and AC, and it blends seamlessly into the rest of the dash. I recommend the ODB power cord, as you can route the wire completely around the window and never have it cluttering your center console.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RL27LBZXQJKBJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on July 19, 2022","Amazon Customer","yes","yes","Great camera","I had issues with it so I returned it, It would stop recording intermittently but found out it was my micro sd card that wasn’t good. Make sure ur sd card is V90, the writing speed is everything, mine delkin v90. It was expensive but reliable.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R3A87NG4935EYU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on May 8, 2025","Jian","yes","yes","2021 Ram 1500 Classic Warlock 4x4 Vantrue Dashcam","Overall it is a really great product. However, it doesn't come with an SD Card. You can buy one online (as I did) or go to a local store such as walmart to pick up a Micro SD card(which I also did.) the setup is stress free, and you can also have the option to hardwire it to your fusebox(you'd have to buy it separately which is what I did) it functions really well, easily accessible through your smartphone. Has surprisingly great quality for such a small product, and the design itself is super beneficial to not block your view when you're driving. I hardwired it to my 2021 classic warlock ram 1500. I tied the read lead to my outlet and my yellow accessory wire to my cigar lighter(in case anyone has any issues.)",4,"https://m.media-amazon.com/images/I/71fR7U4BmvL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2IVE78EIU45OK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0BGGGG4VW","Color: Black"
"Reviewed in the United States on August 17, 2022","Benjamin Ginther","yes","yes","Small size, lots of features. Wifi!","Very nice camera, and it offers wifi, which is really convenient. Also, it uses sticky tape to go on windshield, instead of a suction cup that typically fails in the heat. Great product. Don't forget to download the app from your phones app store. Also, 2560x1440 is basically 2.5k, don't let it confuse you.",5,"https://m.media-amazon.com/images/I/61+A9wslLlL.jpg , https://m.media-amazon.com/images/I/71bH1teNu-L.jpg","-","https://www.amazon.com/gp/customer-reviews/R14IU0VK0P04C5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on August 1, 2022","SuperArrow","yes","yes","Smaller footprint and the excellent video quality","The dash cam has an impressive feature for the size of the camera. Compared to some of the other cameras on the market, this is very small and an excellent camera for discrete installation. I have been running the camera for a few weeks now, and SoCal weather is over 100F, but no issues. I always keep the screen on, and I like how the screen shows the driving speed in large red numbers.There are a few options to choose from for the video resolution. You can turn off GPS and the speed recording option if you want. Another feature I like is adding a filter to reduce the windshield glare. I'm not sure if the company sells filters, but I would like to add one to reduce the glare.So far, the camera functions well, and happy with my investment.",5,"https://m.media-amazon.com/images/I/61LKvB8ZgBL.jpg , https://m.media-amazon.com/images/I/61NIwwFkc6L.jpg , https://m.media-amazon.com/images/I/71lerfXXyqL.jpg","-","https://www.amazon.com/gp/customer-reviews/R2ECRZ4NGGVGQZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on July 26, 2022","VL","yes","yes","Awesome Vantrue Dashcam compact but takes great video and pictures","The things I love about the dashcam:1. GPS tells how fast you're going, what direction, and your coordinates at all times.2. You not only have video but you can take photos at any time, the voice control can assist as well3. I can connect to it with my Android phone via wifi and see what it sees.4. The 3M Adhesive tape mount to the windshield is the best I've seen with w electrostatic sticker easy to remove and put back on.5. It’s a very good compact dash cam with a lot of features.",5,"https://m.media-amazon.com/images/I/21w6gp1YgJL.jpg , https://m.media-amazon.com/images/I/31WGQi2GbCL.jpg , https://m.media-amazon.com/images/I/41GRuL9fepL.jpg , https://m.media-amazon.com/images/I/41XuzdBSIvL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1AFIEC76OOTZ7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on July 22, 2022","Lawrence","yes","yes","Excellent Compact Dash Cam","Excellent  compact dash cam one of the best out there.Good quality product.Perfect video resolution.Phone app.Watch live or exting recordings on phone by wifi.Voice control feature.Remote control feature.Everything you need is in one mini dash camera I posted photo and video so u can see for yourself.",5,"https://m.media-amazon.com/images/I/6152m9eQMzL.jpg , https://m.media-amazon.com/images/I/61IWsp1QmgL.jpg , https://m.media-amazon.com/images/I/61M6fF9tQCL.jpg , https://m.media-amazon.com/images/I/61xpij04Y+L.jpg , https://m.media-amazon.com/images/I/61yGOTBueAL.jpg , https://m.media-amazon.com/images/I/71Ff-hznySL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1UHBETL1BUKSB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on July 16, 2022","MrSpendyGoods","yes","yes","Excellent Camera!","I like that this Camera is small and compact. The video quality and audio is very good. I like that you can give voice commands to what you want the camera to do!",5,"https://m.media-amazon.com/images/I/71BksJWKsVL.jpg , https://m.media-amazon.com/images/I/71fwTPO+0uL.jpg , https://m.media-amazon.com/images/I/71rI-qmzuJL.jpg","-","https://www.amazon.com/gp/customer-reviews/R375K39I43EKXE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on July 13, 2022","Ron L.","yes","yes","Vantrue E1 Element 1 Dashcam is a winner","VANTRUE has done it again! The E1 Dashcam is loaded with features that are easy to use and there's an app to put on your phone so you can do everything and view everything without removing the SD card which to me is a big plus. The build quality is very good and picture quality also is excellent. I still have much to learn on this dashcam because it has so many more features than those I've had in the past. So if you’re looking for a great dash cam with many great features this one checks all the boxes. Highly recommended!",5,"https://m.media-amazon.com/images/I/51yCCxhasTL.jpg , https://m.media-amazon.com/images/I/51yCCxhasTL.jpg , https://m.media-amazon.com/images/I/61BtzlsVSkL.jpg , https://m.media-amazon.com/images/I/61kmnOR5D1L.jpg , https://m.media-amazon.com/images/I/71O+qzM7swL.jpg , https://m.media-amazon.com/images/I/71xs5ARVcgL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1H9H3RURKF2FI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on July 13, 2022","Amazon Customer","yes","yes","Great mini dashcam","I was looking for dash cam and I had just 3 requirements:- good video quality- small size- easy put on/offInitially set my eye on Garmin but there is no way to mount/dismount it easily. Eventually I found Vantrue E1 but it was in preorder state and I had to wait more than month before I could purchase it. Cam was very easy to install. Magnetic mount works perfectly and ensure solid connection between cam and mount itself. I also purchased Vantrue hardware kit to connect cam to fuse box instead of having cable connected to 12v outlet. Video quality really good and to me Full HD 60FPS looks better than 2.5k 30 FPS. Great mini dash cam.",5,"https://m.media-amazon.com/images/I/710TAFAw+XL.jpg","-","https://www.amazon.com/gp/customer-reviews/R1LHVA0TL189HL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on July 9, 2022","Sam T.","yes","yes","Great Price with Lots of New Features","This small cube dash cam is an excellent addition to the Vanture lineup of great dash cams. It boasts new features such as adhesive mount, so no more hot summers where the suction cup fails, WiFi, Voice Control, App Control, Wireless Remote, GPS, Motion & Collision Detection and more! It can handle extreme temperatures, which is great for me in the New Mexico hot summers! Super excited to have this dash cam!! Nice Job Vanture 👍",5,"-","-","https://www.amazon.com/gp/customer-reviews/RH4D5WRM3WLUF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
"Reviewed in the United States on March 20, 2025","Ash","yes","yes","Buy something else.","Have had these (bought 2) for less than a month. Today they have completely stopped recording and all videos have been erased. Returning.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R2QN1PVV68PVRE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0BGGGG4VW","Color: Black"
"Reviewed in the United States on June 12, 2023","partsrept","yes","yes","Expensive and very low resolution can't even read tags. Sad.","Low resolution,  expensive,  can't read tags all blury and have no details to zoom in, video and pictures. Cheap cameras do better jobs.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R193TM9TPJQ1L/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BGGGG4VW","B0B2W81VG6","Color: Dark Gray"
